Factory_ID	DC_ID	SKU_ID	STO_Number	Line_Item	Qty_Pallets	Execution_Date
FAC005	DC009	SKU0015	STO000016	1	28	2025-08-02
FAC005	DC009	SKU0018	STO000016	2	27	2025-08-02
FAC005	DC009	SKU0019	STO000016	3	26	2025-08-02
FAC005	DC009	SKU0022	STO000016	4	25	2025-08-02
FAC005	DC009	SKU0023	STO000016	5	23	2025-08-02
FAC005	DC009	SKU0024	STO000016	6	25	2025-08-02
FAC005	DC009	SKU0027	STO000016	7	25	2025-08-02
FAC005	DC010	SKU0015	STO000017	1	27	2025-08-01
FAC005	DC010	SKU0018	STO000017	2	24	2025-08-01
FAC005	DC010	SKU0019	STO000017	3	26	2025-08-01
FAC005	DC010	SKU0022	STO000017	4	24	2025-08-01
FAC005	DC010	SKU0023	STO000017	5	28	2025-08-01
FAC005	DC010	SKU0024	STO000017	6	27	2025-08-01
FAC005	DC010	SKU0027	STO000017	7	26	2025-08-01
FAC005	DC010	SKU0015	STO000018	1	24	2025-08-02
FAC005	DC010	SKU0018	STO000018	2	26	2025-08-02
FAC005	DC010	SKU0019	STO000018	3	26	2025-08-02
FAC005	DC010	SKU0022	STO000018	4	28	2025-08-02
FAC005	DC010	SKU0023	STO000018	5	26	2025-08-02
FAC005	DC010	SKU0024	STO000018	6	23	2025-08-02
FAC005	DC010	SKU0027	STO000018	7	24	2025-08-02
