Lane_Type	DC_ID	Customer_ID	Month	Total_Pallets_Shipped	Base_Cost	Fuel_Cost
Secondary	DC006	CUST0038	2025-08	35	663.94	357.51
Secondary	DC006	CUST0038	2025-09	14	292.71	157.61
Secondary	DC006	CUST0038	2025-10	5	101.2	54.49
Secondary	DC006	CUST0038	2025-12	39	813.44	438.01
Secondary	DC006	CUST0038	2026-02	43	842.22	453.51
Secondary	DC006	CUST0038	2026-03	40	905.77	487.72
Secondary	DC006	CUST0038	2026-04	5	114.16	61.47
Secondary	DC006	CUST0038	2026-06	60	1243.27	669.45
Secondary	DC006	CUST0038	2026-07	28	603.55	324.99
Secondary	DC006	CUST0038	2026-08	21	447.06	240.73
Secondary	DC008	CUST0048	2025-08	17	131.74	70.94
Secondary	DC008	CUST0048	2025-10	22	174.25	93.83
Secondary	DC008	CUST0048	2025-11	13	116.58	62.77
Secondary	DC008	CUST0048	2025-12	54	446.41	240.37
Secondary	DC008	CUST0048	2026-01	59	508.64	273.88
Secondary	DC008	CUST0048	2026-03	60	519.67	279.82
Secondary	DC008	CUST0048	2026-04	18	142.26	76.6
Secondary	DC008	CUST0048	2026-05	18	139.92	75.34
Secondary	DC008	CUST0048	2026-06	14	110.06	59.26
Secondary	DC008	CUST0048	2026-07	5	40.83	21.99
Secondary	DC008	CUST0048	2026-08	8	62.8	33.82
Secondary	DC001	CUST0007	2025-08	32	313.71	168.92
Secondary	DC001	CUST0007	2025-09	37	369.41	198.91
Secondary	DC001	CUST0007	2025-11	54	500.76	269.64
Secondary	DC001	CUST0007	2025-12	24	243.2	130.95
Secondary	DC001	CUST0007	2026-01	10	102.18	55.02
Secondary	DC001	CUST0007	2026-02	15	155.04	83.48
Secondary	DC001	CUST0007	2026-03	50	440.64	237.27
Secondary	DC001	CUST0007	2026-04	33	312.57	168.31
Secondary	DC001	CUST0007	2026-05	48	420.95	226.66
Secondary	DC001	CUST0007	2026-06	46	423.31	227.94
Secondary	DC001	CUST0007	2026-08	34	340.15	183.16
Secondary	DC003	CUST0043	2025-08	32	484.7	260.99
Secondary	DC003	CUST0043	2025-09	17	266.71	143.61
Secondary	DC003	CUST0043	2025-11	5	75.45	40.62
Secondary	DC003	CUST0043	2025-12	17	246.12	132.53
Secondary	DC003	CUST0043	2026-01	11	191.26	102.99
Secondary	DC003	CUST0043	2026-02	37	644.58	347.08
Secondary	DC003	CUST0043	2026-03	7	115.78	62.34
Secondary	DC003	CUST0043	2026-04	30	438.03	235.86
Secondary	DC003	CUST0043	2026-05	21	322.16	173.47
Secondary	DC003	CUST0043	2026-07	6	103.4	55.68
Secondary	DC003	CUST0043	2026-08	43	709.13	381.84
Secondary	DC006	CUST0023	2025-08	35	310.7	167.3
Secondary	DC006	CUST0023	2025-09	39	350	188.46
Secondary	DC006	CUST0023	2025-12	14	123.23	66.36
Secondary	DC006	CUST0023	2026-02	10	83.19	44.79
Secondary	DC006	CUST0023	2026-03	8	66.87	36.01
Secondary	DC006	CUST0023	2026-04	25	194.35	104.65
Secondary	DC006	CUST0023	2026-05	59	468.31	252.17
Secondary	DC006	CUST0023	2026-06	6	49.03	26.4
Secondary	DC006	CUST0023	2026-07	25	228.18	122.86
Secondary	DC006	CUST0030	2025-08	51	578.13	311.3
Secondary	DC006	CUST0030	2025-09	47	479.83	258.37
Secondary	DC006	CUST0030	2025-10	47	446.39	240.37
Secondary	DC006	CUST0030	2025-12	14	152.42	82.07
Secondary	DC006	CUST0030	2026-02	22	234.01	126
Secondary	DC006	CUST0030	2026-03	31	301.62	162.41
Secondary	DC006	CUST0030	2026-04	58	657.09	353.82
Secondary	DC006	CUST0030	2026-05	40	403.99	217.54
Secondary	DC006	CUST0030	2026-06	41	455.53	245.29
Secondary	DC006	CUST0030	2026-08	10	96.12	51.76
Secondary	DC002	CUST0005	2025-09	16	130.22	70.12
Secondary	DC002	CUST0005	2025-10	6	53.39	28.75
Secondary	DC002	CUST0005	2025-11	18	156.24	84.13
Secondary	DC002	CUST0005	2025-12	51	468.99	252.53
Secondary	DC002	CUST0005	2026-01	48	417	224.54
Secondary	DC002	CUST0005	2026-02	17	150.7	81.15
Secondary	DC002	CUST0005	2026-03	24	184.62	99.41
Secondary	DC002	CUST0005	2026-04	16	129.18	69.56
Secondary	DC002	CUST0005	2026-05	31	247.51	133.27
Secondary	DC002	CUST0005	2026-07	16	148.11	79.75
Secondary	DC007	CUST0028	2025-08	10	93.22	50.2
Secondary	DC007	CUST0028	2025-09	27	265.95	143.21
Secondary	DC007	CUST0028	2025-10	58	555.99	299.38
Secondary	DC007	CUST0028	2025-11	7	71.27	38.38
Secondary	DC007	CUST0028	2025-12	14	131.77	70.95
Secondary	DC007	CUST0028	2026-02	27	259.58	139.77
Secondary	DC007	CUST0028	2026-03	23	202.28	108.92
Secondary	DC007	CUST0028	2026-04	37	349.19	188.03
Secondary	DC007	CUST0028	2026-05	22	188.69	101.6
Secondary	DC007	CUST0028	2026-06	21	185.11	99.68
Secondary	DC007	CUST0028	2026-08	38	366.21	197.19
Secondary	DC005	CUST0034	2025-10	28	264.7	142.53
Secondary	DC005	CUST0034	2025-11	7	63.02	33.93
Secondary	DC005	CUST0034	2026-01	5	43.49	23.42
Secondary	DC005	CUST0034	2026-02	26	249.88	134.55
Secondary	DC005	CUST0034	2026-04	24	208.92	112.49
Secondary	DC005	CUST0034	2026-05	53	447.41	240.91
Secondary	DC005	CUST0034	2026-06	34	323.31	174.09
Secondary	DC005	CUST0034	2026-07	51	466.48	251.18
Secondary	DC005	CUST0034	2026-08	21	204.78	110.27
Secondary	DC004	CUST0026	2025-08	35	348.5	187.65
Secondary	DC004	CUST0026	2025-09	19	192.28	103.53
Secondary	DC004	CUST0026	2025-10	37	327.81	176.51
Secondary	DC004	CUST0026	2025-11	22	230.71	124.23
Secondary	DC004	CUST0026	2025-12	6	53.81	28.97
Secondary	DC004	CUST0026	2026-02	43	451.86	243.31
Secondary	DC004	CUST0026	2026-03	17	178.19	95.95
Secondary	DC004	CUST0026	2026-04	13	115.73	62.31
Secondary	DC004	CUST0026	2026-05	8	84.14	45.31
Secondary	DC004	CUST0026	2026-06	54	481.91	259.49
Secondary	DC004	CUST0026	2026-07	30	269.11	144.9
Secondary	DC007	CUST0024	2025-09	24	206.73	111.32
Secondary	DC007	CUST0024	2025-11	32	263.18	141.71
Secondary	DC007	CUST0024	2026-01	59	557.7	300.3
Secondary	DC007	CUST0024	2026-05	30	279.45	150.47
Secondary	DC007	CUST0024	2026-06	47	410.65	221.12
Secondary	DC007	CUST0024	2026-07	20	188.6	101.56
Secondary	DC009	CUST0036	2025-09	13	359.06	193.34
Secondary	DC009	CUST0036	2025-10	23	689.7	371.38
Secondary	DC009	CUST0036	2025-11	32	919.39	495.05
Secondary	DC009	CUST0036	2025-12	27	759.2	408.8
Secondary	DC009	CUST0036	2026-01	42	1071.74	577.09
Secondary	DC009	CUST0036	2026-02	16	475.11	255.83
Secondary	DC009	CUST0036	2026-03	26	733.01	394.7
Secondary	DC009	CUST0036	2026-05	30	915.64	493.04
Secondary	DC009	CUST0036	2026-06	13	366.39	197.29
Secondary	DC009	CUST0036	2026-08	10	272.8	146.89
Secondary	DC009	CUST0006	2025-08	32	277.94	149.66
Secondary	DC009	CUST0006	2025-09	48	477.01	256.85
Secondary	DC009	CUST0006	2025-11	31	270.92	145.88
Secondary	DC009	CUST0006	2025-12	38	378.56	203.84
Secondary	DC009	CUST0006	2026-01	10	90.51	48.73
Secondary	DC009	CUST0006	2026-02	46	460.68	248.06
Secondary	DC009	CUST0006	2026-03	5	43.52	23.44
Secondary	DC009	CUST0006	2026-05	48	444.15	239.16
Secondary	DC009	CUST0006	2026-06	47	430.25	231.67
Secondary	DC009	CUST0006	2026-07	24	220.74	118.86
Secondary	DC009	CUST0006	2026-08	12	114.38	61.59
Secondary	DC005	CUST0017	2025-08	33	337.39	181.67
Secondary	DC005	CUST0017	2025-09	50	494.12	266.07
Secondary	DC005	CUST0017	2025-10	28	263.92	142.11
Secondary	DC005	CUST0017	2025-12	53	529.01	284.85
Secondary	DC005	CUST0017	2026-01	14	128.97	69.44
Secondary	DC005	CUST0017	2026-02	50	520.19	280.1
Secondary	DC005	CUST0017	2026-04	51	560	301.54
Secondary	DC005	CUST0017	2026-05	34	332.3	178.93
Secondary	DC005	CUST0017	2026-07	28	260.4	140.21
Secondary	DC005	CUST0017	2026-08	28	271.97	146.45
Secondary	DC008	CUST0033	2025-08	23	245.31	132.09
Secondary	DC008	CUST0033	2025-12	33	322.41	173.61
Secondary	DC008	CUST0033	2026-01	43	401.57	216.23
Secondary	DC008	CUST0033	2026-02	39	413.73	222.78
Secondary	DC008	CUST0033	2026-06	45	455.03	245.02
Secondary	DC008	CUST0033	2026-07	27	299.18	161.1
Secondary	DC008	CUST0033	2026-08	20	219.46	118.17
Secondary	DC002	CUST0044	2025-08	51	1146.81	617.51
Secondary	DC002	CUST0044	2025-09	7	135.4	72.91
Secondary	DC002	CUST0044	2025-10	14	302.32	162.79
Secondary	DC002	CUST0044	2025-11	56	1273.81	685.9
Secondary	DC002	CUST0044	2025-12	51	986.94	531.43
Secondary	DC002	CUST0044	2026-01	52	1055.35	568.26
Secondary	DC002	CUST0044	2026-02	16	368.57	198.46
Secondary	DC002	CUST0044	2026-04	10	225.56	121.45
Secondary	DC002	CUST0044	2026-05	12	268.48	144.56
Secondary	DC002	CUST0044	2026-06	24	518.89	279.4
Secondary	DC002	CUST0044	2026-07	55	1102.7	593.76
Secondary	DC002	CUST0044	2026-08	28	600.37	323.28
Secondary	DC009	CUST0050	2025-09	22	651.41	350.76
Secondary	DC009	CUST0050	2025-10	22	620.96	334.36
Secondary	DC009	CUST0050	2025-12	16	467.55	251.76
Secondary	DC009	CUST0050	2026-02	6	178.85	96.3
Secondary	DC009	CUST0050	2026-03	22	591.84	318.68
Secondary	DC009	CUST0050	2026-04	45	1223.56	658.84
Secondary	DC009	CUST0050	2026-07	9	259.61	139.79
Secondary	DC009	CUST0050	2026-08	43	1292.65	696.04
Secondary	DC005	CUST0035	2025-08	45	351.84	189.45
Secondary	DC005	CUST0035	2025-09	35	291.62	157.03
Secondary	DC005	CUST0035	2025-11	27	220.52	118.74
Secondary	DC005	CUST0035	2026-01	36	260.22	140.12
Secondary	DC005	CUST0035	2026-02	48	360.18	193.94
Secondary	DC005	CUST0035	2026-03	47	386.01	207.85
Secondary	DC005	CUST0035	2026-04	45	344.33	185.41
Secondary	DC005	CUST0035	2026-05	10	72.24	38.9
Secondary	DC005	CUST0035	2026-06	28	206.41	111.14
Secondary	DC005	CUST0035	2026-07	33	262.03	141.09
Secondary	DC006	CUST0046	2025-08	15	323.31	174.09
Secondary	DC006	CUST0046	2025-09	31	716.63	385.88
Secondary	DC006	CUST0046	2025-11	40	882.32	475.09
Secondary	DC006	CUST0046	2025-12	29	661.29	356.08
Secondary	DC006	CUST0046	2026-02	59	1147.42	617.84
Secondary	DC006	CUST0046	2026-03	18	415.83	223.91
Secondary	DC006	CUST0046	2026-04	16	361.06	194.42
Secondary	DC006	CUST0046	2026-05	52	1198.38	645.28
Secondary	DC006	CUST0046	2026-06	27	596.39	321.13
Secondary	DC006	CUST0046	2026-07	43	864.36	465.42
Secondary	DC006	CUST0046	2026-08	45	871.77	469.41
Secondary	DC002	CUST0021	2025-08	45	440.15	237
Secondary	DC002	CUST0021	2025-09	39	364.84	196.45
Secondary	DC002	CUST0021	2025-11	53	489.05	263.34
Secondary	DC002	CUST0021	2025-12	33	285.68	153.83
Secondary	DC002	CUST0021	2026-01	30	267.04	143.79
Secondary	DC002	CUST0021	2026-02	26	254.37	136.97
Secondary	DC002	CUST0021	2026-03	48	482.48	259.8
Secondary	DC002	CUST0021	2026-04	46	420.55	226.45
Secondary	DC002	CUST0021	2026-05	17	162.32	87.4
Secondary	DC002	CUST0021	2026-06	13	123.48	66.49
Secondary	DC002	CUST0021	2026-07	10	94.8	51.04
Secondary	DC002	CUST0021	2026-08	6	53.82	28.98
Secondary	DC008	CUST0022	2025-09	35	311.84	167.92
Secondary	DC008	CUST0022	2025-10	6	54.06	29.11
Secondary	DC008	CUST0022	2025-11	46	386.53	208.13
Secondary	DC008	CUST0022	2025-12	17	156.31	84.17
Secondary	DC008	CUST0022	2026-02	60	488.7	263.14
Secondary	DC008	CUST0022	2026-03	50	465.86	250.85
Secondary	DC008	CUST0022	2026-04	23	180.44	97.16
Secondary	DC008	CUST0022	2026-06	34	277.26	149.3
Secondary	DC008	CUST0022	2026-07	20	182.06	98.03
Secondary	DC008	CUST0022	2026-08	37	326.93	176.04
Secondary	DC002	CUST0041	2025-08	58	1041.91	561.03
Secondary	DC002	CUST0041	2025-09	15	264.64	142.5
Secondary	DC002	CUST0041	2025-10	9	150.82	81.21
Secondary	DC002	CUST0041	2025-12	60	1119.89	603.02
Secondary	DC002	CUST0041	2026-01	29	492.82	265.37
Secondary	DC002	CUST0041	2026-02	21	420.35	226.34
Secondary	DC002	CUST0041	2026-03	50	980.99	528.22
Secondary	DC002	CUST0041	2026-04	39	756.21	407.19
Secondary	DC002	CUST0041	2026-05	57	1107.61	596.41
Secondary	DC002	CUST0041	2026-07	57	1107.42	596.31
Secondary	DC008	CUST0027	2025-08	37	341.08	183.66
Secondary	DC008	CUST0027	2025-09	55	457.07	246.11
Secondary	DC008	CUST0027	2025-12	53	504.04	271.4
Secondary	DC008	CUST0027	2026-01	28	247.22	133.12
Secondary	DC008	CUST0027	2026-02	20	190.34	102.49
Secondary	DC008	CUST0027	2026-05	9	80.2	43.18
Secondary	DC008	CUST0027	2026-06	53	451.94	243.35
Secondary	DC009	CUST0001	2025-08	55	428.35	230.65
Secondary	DC009	CUST0001	2026-01	6	44.56	24
Secondary	DC009	CUST0001	2026-02	28	229.67	123.67
Secondary	DC009	CUST0001	2026-03	50	366.44	197.31
Secondary	DC009	CUST0001	2026-04	35	287.05	154.57
Secondary	DC009	CUST0001	2026-05	14	115.5	62.19
Secondary	DC009	CUST0001	2026-06	14	112.49	60.57
Secondary	DC009	CUST0001	2026-07	21	169.71	91.38
Secondary	DC005	CUST0037	2025-09	42	557.28	300.07
Secondary	DC005	CUST0037	2025-10	37	570.73	307.32
Secondary	DC005	CUST0037	2025-11	30	439.07	236.42
Secondary	DC005	CUST0037	2025-12	27	408.41	219.92
Secondary	DC005	CUST0037	2026-01	37	523.82	282.06
Secondary	DC005	CUST0037	2026-02	60	957.38	515.51
Secondary	DC005	CUST0037	2026-03	60	886.66	477.43
Secondary	DC005	CUST0037	2026-05	5	76	40.92
Secondary	DC007	CUST0031	2025-09	51	434.32	233.86
Secondary	DC007	CUST0031	2025-10	27	217.31	117.01
Secondary	DC007	CUST0031	2025-11	45	391.7	210.92
Secondary	DC007	CUST0031	2025-12	59	505.26	272.06
Secondary	DC007	CUST0031	2026-01	19	160.34	86.34
Secondary	DC007	CUST0031	2026-02	7	55.21	29.73
Secondary	DC007	CUST0031	2026-04	9	69.14	37.23
Secondary	DC007	CUST0031	2026-05	59	497.88	268.09
Secondary	DC007	CUST0031	2026-06	56	410.78	221.19
Secondary	DC007	CUST0031	2026-07	20	152.78	82.27
Secondary	DC007	CUST0031	2026-08	16	133.69	71.99
Secondary	DC001	CUST0020	2025-08	20	138.28	74.46
Secondary	DC001	CUST0020	2025-09	16	106.22	57.2
Secondary	DC001	CUST0020	2025-10	40	279.43	150.46
Secondary	DC001	CUST0020	2025-11	51	397.52	214.05
Secondary	DC001	CUST0020	2026-01	38	266.86	143.69
Secondary	DC001	CUST0020	2026-04	35	254.06	136.8
Secondary	DC001	CUST0020	2026-05	55	366.01	197.08
Secondary	DC001	CUST0020	2026-06	9	61.8	33.28
Secondary	DC003	CUST0014	2025-09	18	160.01	86.16
Secondary	DC003	CUST0014	2025-12	12	109.22	58.81
Secondary	DC003	CUST0014	2026-01	46	376.56	202.76
Secondary	DC003	CUST0014	2026-02	44	403.21	217.11
Secondary	DC003	CUST0014	2026-03	21	192.41	103.6
Secondary	DC003	CUST0014	2026-04	36	322.09	173.43
Secondary	DC003	CUST0014	2026-05	35	306.01	164.77
Secondary	DC003	CUST0014	2026-06	24	199.37	107.35
Secondary	DC003	CUST0014	2026-07	26	216.49	116.57
Secondary	DC003	CUST0014	2026-08	24	214.51	115.5
Secondary	DC007	CUST0016	2025-09	16	128.45	69.17
Secondary	DC007	CUST0016	2025-10	37	296.03	159.4
Secondary	DC007	CUST0016	2026-01	24	177.49	95.57
Secondary	DC007	CUST0016	2026-02	26	215.02	115.78
Secondary	DC007	CUST0016	2026-03	16	120.88	65.09
Secondary	DC007	CUST0016	2026-06	24	186.2	100.26
Secondary	DC007	CUST0016	2026-07	11	91.8	49.43
Secondary	DC007	CUST0016	2026-08	18	146.92	79.11
Secondary	DC002	CUST0018	2025-10	55	405.97	218.6
Secondary	DC002	CUST0018	2025-12	25	215.53	116.06
Secondary	DC002	CUST0018	2026-01	46	370.31	199.4
Secondary	DC002	CUST0018	2026-02	51	384.31	206.93
Secondary	DC002	CUST0018	2026-03	35	300.51	161.81
Secondary	DC002	CUST0018	2026-04	28	205.49	110.65
Secondary	DC002	CUST0018	2026-05	27	227.34	122.41
Secondary	DC002	CUST0018	2026-06	24	186.76	100.56
Secondary	DC002	CUST0018	2026-07	31	220.68	118.83
Secondary	DC002	CUST0018	2026-08	8	69.12	37.22
Secondary	DC003	CUST0040	2025-08	56	956.55	515.06
Secondary	DC003	CUST0040	2025-09	22	366.03	197.09
Secondary	DC003	CUST0040	2025-10	18	342.06	184.19
Secondary	DC003	CUST0040	2025-12	6	106.51	57.35
Secondary	DC003	CUST0040	2026-01	25	465.51	250.66
Secondary	DC003	CUST0040	2026-02	56	972.02	523.4
Secondary	DC003	CUST0040	2026-03	59	1036.9	558.33
Secondary	DC003	CUST0040	2026-06	51	956.19	514.87
Secondary	DC003	CUST0040	2026-07	7	136.09	73.28
Secondary	DC003	CUST0040	2026-08	50	917.95	494.28
Secondary	DC001	CUST0002	2025-09	29	273.76	147.41
Secondary	DC001	CUST0002	2025-11	39	393.2	211.72
Secondary	DC001	CUST0002	2025-12	12	123.53	66.51
Secondary	DC001	CUST0002	2026-01	9	89.9	48.41
Secondary	DC001	CUST0002	2026-02	31	341.74	184.01
Secondary	DC001	CUST0002	2026-03	42	417.3	224.7
Secondary	DC001	CUST0002	2026-07	53	566.3	304.93
Secondary	DC001	CUST0002	2026-08	57	565.46	304.48
Secondary	DC003	CUST0009	2025-09	9	70.18	37.79
Secondary	DC003	CUST0009	2025-10	52	363.46	195.71
Secondary	DC003	CUST0009	2025-11	54	387.78	208.81
