Sales_Order	Line_Item	SKU_ID	SKU_Hierarchy_L1	Qty_Pallets	Customer_ID	DC_ID	Order_Generation_Date	Requested_Delivery_Date
SO000011	5	SKU0017	Dairy	8	CUST0039	DC004	2025-08-01	2025-08-04
SO000012	1	SKU0002	Dairy	2	CUST0013	DC004	2025-08-01	2025-08-04
SO000012	2	SKU0006	Dairy	2	CUST0013	DC004	2025-08-01	2025-08-04
SO000012	3	SKU0013	Dairy	3	CUST0013	DC004	2025-08-01	2025-08-04
SO000012	4	SKU0016	Dairy	3	CUST0013	DC004	2025-08-01	2025-08-04
SO000012	5	SKU0017	Dairy	3	CUST0013	DC004	2025-08-01	2025-08-04
SO000013	1	SKU0002	Dairy	7	CUST0026	DC004	2025-08-01	2025-08-04
SO000013	2	SKU0006	Dairy	7	CUST0026	DC004	2025-08-01	2025-08-04
SO000013	3	SKU0013	Dairy	7	CUST0026	DC004	2025-08-01	2025-08-04
SO000013	4	SKU0016	Dairy	7	CUST0026	DC004	2025-08-01	2025-08-04
SO000013	5	SKU0017	Dairy	7	CUST0026	DC004	2025-08-01	2025-08-04
SO000014	1	SKU0003	Beverages	2	CUST0010	DC005	2025-08-01	2025-08-04
SO000014	2	SKU0009	Beverages	1	CUST0010	DC005	2025-08-01	2025-08-04
SO000014	3	SKU0010	Beverages	2	CUST0010	DC005	2025-08-01	2025-08-04
SO000014	4	SKU0011	Beverages	1	CUST0010	DC005	2025-08-01	2025-08-04
SO000014	5	SKU0021	Beverages	1	CUST0010	DC005	2025-08-01	2025-08-04
SO000014	6	SKU0025	Beverages	1	CUST0010	DC005	2025-08-01	2025-08-04
SO000014	7	SKU0026	Beverages	1	CUST0010	DC005	2025-08-01	2025-08-04
SO000015	1	SKU0003	Beverages	3	CUST0029	DC005	2025-08-01	2025-08-04
SO000015	2	SKU0009	Beverages	4	CUST0029	DC005	2025-08-01	2025-08-04
SO000015	3	SKU0010	Beverages	3	CUST0029	DC005	2025-08-01	2025-08-04
SO000015	4	SKU0011	Beverages	3	CUST0029	DC005	2025-08-01	2025-08-04
SO000015	5	SKU0021	Beverages	4	CUST0029	DC005	2025-08-01	2025-08-04
SO000015	6	SKU0025	Beverages	3	CUST0029	DC005	2025-08-01	2025-08-04
SO000015	7	SKU0026	Beverages	3	CUST0029	DC005	2025-08-01	2025-08-04
SO000016	1	SKU0003	Beverages	4	CUST0008	DC005	2025-08-01	2025-08-04
SO000016	2	SKU0009	Beverages	4	CUST0008	DC005	2025-08-01	2025-08-04
SO000016	3	SKU0010	Beverages	5	CUST0008	DC005	2025-08-01	2025-08-04
SO000016	4	SKU0011	Beverages	5	CUST0008	DC005	2025-08-01	2025-08-04
SO000016	5	SKU0021	Beverages	4	CUST0008	DC005	2025-08-01	2025-08-04
SO000016	6	SKU0025	Beverages	4	CUST0008	DC005	2025-08-01	2025-08-04
SO000016	7	SKU0026	Beverages	4	CUST0008	DC005	2025-08-01	2025-08-04
SO000017	1	SKU0003	Beverages	5	CUST0017	DC005	2025-08-01	2025-08-04
SO000017	2	SKU0009	Beverages	4	CUST0017	DC005	2025-08-01	2025-08-04
SO000017	3	SKU0010	Beverages	5	CUST0017	DC005	2025-08-01	2025-08-04
SO000017	4	SKU0011	Beverages	5	CUST0017	DC005	2025-08-01	2025-08-04
SO000017	5	SKU0021	Beverages	5	CUST0017	DC005	2025-08-01	2025-08-04
SO000017	6	SKU0025	Beverages	5	CUST0017	DC005	2025-08-01	2025-08-04
SO000017	7	SKU0026	Beverages	4	CUST0017	DC005	2025-08-01	2025-08-04
SO000018	1	SKU0003	Beverages	7	CUST0035	DC005	2025-08-01	2025-08-04
SO000018	2	SKU0009	Beverages	6	CUST0035	DC005	2025-08-01	2025-08-04
SO000018	3	SKU0010	Beverages	6	CUST0035	DC005	2025-08-01	2025-08-04
SO000018	4	SKU0011	Beverages	7	CUST0035	DC005	2025-08-01	2025-08-04
SO000018	5	SKU0021	Beverages	7	CUST0035	DC005	2025-08-01	2025-08-04
SO000018	6	SKU0025	Beverages	6	CUST0035	DC005	2025-08-01	2025-08-04
SO000018	7	SKU0026	Beverages	6	CUST0035	DC005	2025-08-01	2025-08-04
SO000019	1	SKU0003	Beverages	3	CUST0011	DC006	2025-08-01	2025-08-04
SO000019	2	SKU0009	Beverages	3	CUST0011	DC006	2025-08-01	2025-08-04
SO000019	3	SKU0010	Beverages	3	CUST0011	DC006	2025-08-01	2025-08-04
SO000019	4	SKU0011	Beverages	3	CUST0011	DC006	2025-08-01	2025-08-04
SO000019	5	SKU0021	Beverages	3	CUST0011	DC006	2025-08-01	2025-08-04
SO000019	6	SKU0025	Beverages	2	CUST0011	DC006	2025-08-01	2025-08-04
SO000019	7	SKU0026	Beverages	3	CUST0011	DC006	2025-08-01	2025-08-04
SO000020	1	SKU0003	Beverages	5	CUST0038	DC006	2025-08-01	2025-08-04
SO000020	2	SKU0009	Beverages	5	CUST0038	DC006	2025-08-01	2025-08-04
SO000020	3	SKU0010	Beverages	5	CUST0038	DC006	2025-08-01	2025-08-04
SO000020	4	SKU0011	Beverages	5	CUST0038	DC006	2025-08-01	2025-08-04
SO000020	5	SKU0021	Beverages	5	CUST0038	DC006	2025-08-01	2025-08-04
SO000020	6	SKU0025	Beverages	5	CUST0038	DC006	2025-08-01	2025-08-04
SO000020	7	SKU0026	Beverages	5	CUST0038	DC006	2025-08-01	2025-08-04
SO000021	1	SKU0003	Beverages	5	CUST0023	DC006	2025-08-01	2025-08-04
SO000021	2	SKU0009	Beverages	5	CUST0023	DC006	2025-08-01	2025-08-04
SO000021	3	SKU0010	Beverages	5	CUST0023	DC006	2025-08-01	2025-08-04
SO000021	4	SKU0011	Beverages	5	CUST0023	DC006	2025-08-01	2025-08-04
SO000021	5	SKU0021	Beverages	5	CUST0023	DC006	2025-08-01	2025-08-04
SO000021	6	SKU0025	Beverages	5	CUST0023	DC006	2025-08-01	2025-08-04
SO000021	7	SKU0026	Beverages	5	CUST0023	DC006	2025-08-01	2025-08-04
SO000022	1	SKU0003	Beverages	8	CUST0030	DC006	2025-08-01	2025-08-04
SO000022	2	SKU0009	Beverages	7	CUST0030	DC006	2025-08-01	2025-08-04
SO000022	3	SKU0010	Beverages	7	CUST0030	DC006	2025-08-01	2025-08-04
SO000022	4	SKU0011	Beverages	7	CUST0030	DC006	2025-08-01	2025-08-04
SO000022	5	SKU0021	Beverages	7	CUST0030	DC006	2025-08-01	2025-08-04
SO000022	6	SKU0025	Beverages	8	CUST0030	DC006	2025-08-01	2025-08-04
SO000022	7	SKU0026	Beverages	7	CUST0030	DC006	2025-08-01	2025-08-04
SO000023	1	SKU0003	Beverages	2	CUST0046	DC006	2025-08-01	2025-08-04
SO000023	2	SKU0009	Beverages	3	CUST0046	DC006	2025-08-01	2025-08-04
SO000023	3	SKU0010	Beverages	2	CUST0046	DC006	2025-08-01	2025-08-04
SO000023	4	SKU0011	Beverages	2	CUST0046	DC006	2025-08-01	2025-08-04
SO000023	5	SKU0021	Beverages	2	CUST0046	DC006	2025-08-01	2025-08-04
SO000023	6	SKU0025	Beverages	2	CUST0046	DC006	2025-08-01	2025-08-04
SO000023	7	SKU0026	Beverages	2	CUST0046	DC006	2025-08-01	2025-08-04
SO000024	1	SKU0004	Snacks	2	CUST0028	DC007	2025-08-01	2025-08-04
SO000024	2	SKU0007	Snacks	1	CUST0028	DC007	2025-08-01	2025-08-04
SO000024	3	SKU0008	Snacks	2	CUST0028	DC007	2025-08-01	2025-08-04
SO000024	4	SKU0020	Snacks	1	CUST0028	DC007	2025-08-01	2025-08-04
SO000024	5	SKU0029	Snacks	2	CUST0028	DC007	2025-08-01	2025-08-04
SO000024	6	SKU0030	Snacks	2	CUST0028	DC007	2025-08-01	2025-08-04
SO000025	1	SKU0004	Snacks	4	CUST0015	DC008	2025-08-01	2025-08-04
SO000025	2	SKU0007	Snacks	5	CUST0015	DC008	2025-08-01	2025-08-04
SO000025	3	SKU0008	Snacks	4	CUST0015	DC008	2025-08-01	2025-08-04
SO000025	4	SKU0020	Snacks	5	CUST0015	DC008	2025-08-01	2025-08-04
SO000025	5	SKU0029	Snacks	4	CUST0015	DC008	2025-08-01	2025-08-04
SO000025	6	SKU0030	Snacks	5	CUST0015	DC008	2025-08-01	2025-08-04
SO000026	1	SKU0004	Snacks	3	CUST0048	DC008	2025-08-01	2025-08-04
SO000026	2	SKU0007	Snacks	3	CUST0048	DC008	2025-08-01	2025-08-04
SO000026	3	SKU0008	Snacks	3	CUST0048	DC008	2025-08-01	2025-08-04
SO000026	4	SKU0020	Snacks	3	CUST0048	DC008	2025-08-01	2025-08-04
SO000026	5	SKU0029	Snacks	3	CUST0048	DC008	2025-08-01	2025-08-04
SO000026	6	SKU0030	Snacks	2	CUST0048	DC008	2025-08-01	2025-08-04
SO000027	1	SKU0004	Snacks	4	CUST0033	DC008	2025-08-01	2025-08-04
SO000027	2	SKU0007	Snacks	3	CUST0033	DC008	2025-08-01	2025-08-04
SO000027	3	SKU0008	Snacks	4	CUST0033	DC008	2025-08-01	2025-08-04
SO000027	4	SKU0020	Snacks	4	CUST0033	DC008	2025-08-01	2025-08-04
SO000027	5	SKU0029	Snacks	4	CUST0033	DC008	2025-08-01	2025-08-04
SO000027	6	SKU0030	Snacks	4	CUST0033	DC008	2025-08-01	2025-08-04
SO000028	1	SKU0004	Snacks	6	CUST0027	DC008	2025-08-01	2025-08-04
SO000028	2	SKU0007	Snacks	7	CUST0027	DC008	2025-08-01	2025-08-04
SO000028	3	SKU0008	Snacks	6	CUST0027	DC008	2025-08-01	2025-08-04
SO000028	4	SKU0020	Snacks	6	CUST0027	DC008	2025-08-01	2025-08-04
SO000028	5	SKU0029	Snacks	6	CUST0027	DC008	2025-08-01	2025-08-04
SO000028	6	SKU0030	Snacks	6	CUST0027	DC008	2025-08-01	2025-08-04
SO000029	1	SKU0015	Home Care	8	CUST0032	DC009	2025-08-01	2025-08-04
SO000029	2	SKU0018	Home Care	8	CUST0032	DC009	2025-08-01	2025-08-04
SO000029	3	SKU0019	Home Care	9	CUST0032	DC009	2025-08-01	2025-08-04
SO000029	4	SKU0022	Home Care	9	CUST0032	DC009	2025-08-01	2025-08-04
SO000029	5	SKU0023	Home Care	8	CUST0032	DC009	2025-08-01	2025-08-04
SO000029	6	SKU0024	Home Care	8	CUST0032	DC009	2025-08-01	2025-08-04
SO000029	7	SKU0027	Home Care	8	CUST0032	DC009	2025-08-01	2025-08-04
SO000030	1	SKU0015	Home Care	5	CUST0006	DC009	2025-08-01	2025-08-04
SO000030	2	SKU0018	Home Care	4	CUST0006	DC009	2025-08-01	2025-08-04
SO000030	3	SKU0019	Home Care	5	CUST0006	DC009	2025-08-01	2025-08-04
SO000030	4	SKU0022	Home Care	5	CUST0006	DC009	2025-08-01	2025-08-04
SO000030	5	SKU0023	Home Care	5	CUST0006	DC009	2025-08-01	2025-08-04
SO000030	6	SKU0024	Home Care	4	CUST0006	DC009	2025-08-01	2025-08-04
SO000030	7	SKU0027	Home Care	4	CUST0006	DC009	2025-08-01	2025-08-04
SO000031	1	SKU0015	Home Care	8	CUST0001	DC009	2025-08-01	2025-08-04
SO000031	2	SKU0018	Home Care	8	CUST0001	DC009	2025-08-01	2025-08-04
SO000031	3	SKU0019	Home Care	7	CUST0001	DC009	2025-08-01	2025-08-04
SO000031	4	SKU0022	Home Care	8	CUST0001	DC009	2025-08-01	2025-08-04
SO000031	5	SKU0023	Home Care	8	CUST0001	DC009	2025-08-01	2025-08-04
SO000031	6	SKU0024	Home Care	8	CUST0001	DC009	2025-08-01	2025-08-04
SO000031	7	SKU0027	Home Care	8	CUST0001	DC009	2025-08-01	2025-08-04
SO000032	1	SKU0015	Home Care	6	CUST0025	DC010	2025-08-01	2025-08-04
SO000032	2	SKU0018	Home Care	6	CUST0025	DC010	2025-08-01	2025-08-04
SO000032	3	SKU0019	Home Care	6	CUST0025	DC010	2025-08-01	2025-08-04
SO000032	4	SKU0022	Home Care	6	CUST0025	DC010	2025-08-01	2025-08-04
SO000032	5	SKU0023	Home Care	6	CUST0025	DC010	2025-08-01	2025-08-04
SO000032	6	SKU0024	Home Care	6	CUST0025	DC010	2025-08-01	2025-08-04
SO000032	7	SKU0027	Home Care	6	CUST0025	DC010	2025-08-01	2025-08-04
SO000033	1	SKU0015	Home Care	8	CUST0003	DC010	2025-08-01	2025-08-04
SO000033	2	SKU0018	Home Care	9	CUST0003	DC010	2025-08-01	2025-08-04
SO000033	3	SKU0019	Home Care	8	CUST0003	DC010	2025-08-01	2025-08-04
SO000033	4	SKU0022	Home Care	9	CUST0003	DC010	2025-08-01	2025-08-04
SO000033	5	SKU0023	Home Care	8	CUST0003	DC010	2025-08-01	2025-08-04
SO000033	6	SKU0024	Home Care	8	CUST0003	DC010	2025-08-01	2025-08-04
SO000033	7	SKU0027	Home Care	9	CUST0003	DC010	2025-08-01	2025-08-04
SO000034	1	SKU0015	Home Care	8	CUST0042	DC010	2025-08-01	2025-08-04
SO000034	2	SKU0018	Home Care	8	CUST0042	DC010	2025-08-01	2025-08-04
SO000034	3	SKU0019	Home Care	9	CUST0042	DC010	2025-08-01	2025-08-04
SO000034	4	SKU0022	Home Care	8	CUST0042	DC010	2025-08-01	2025-08-04
SO000034	5	SKU0023	Home Care	9	CUST0042	DC010	2025-08-01	2025-08-04
SO000034	6	SKU0024	Home Care	8	CUST0042	DC010	2025-08-01	2025-08-04
SO000034	7	SKU0027	Home Care	8	CUST0042	DC010	2025-08-01	2025-08-04
